Memory,Memory_Bandwidth,Memory_Speed,Pixel_Rate,TMUs,Max_Power,Manufacturer,Memory_Type
1024,16,1000,12,48,50,AMD,DDR
2048,213,667,10,24,65,AMD,DDR
2048,256,800,12,40,50,AMD,DDR
2048,16,1000,16,40,50,AMD,DDR
1024,288,900,34,60,219,AMD,DDR
1024,288,900,34,60,219,AMD,DDR
1024,16,1000,10,28,50,AMD,DDR
1024,256,800,23,24,40,AMD,DDR
2048,288,900,10,36,32,AMD,DDR
1024,288,900,34,60,219,AMD,DDR
1024,256,800,23,24,40,AMD,DDR
1024,288,900,34,60,219,AMD,DDR
1024,288,900,34,60,219,AMD,DDR
1024,691,1080,66,32,78,AMD,DDR
256,213,667,13,8,45,AMD,DDR
1024,1088,900,23,56,40,AMD,DDR
1024,256,800,4,16,35,AMD,DDR
2048,112,900,3,16,35,AMD,DDR
512,213,667,64,24,25,AMD,DDR
512,213,667,64,8,19,AMD,DDR
512,213,667,64,8,17,AMD,DDR
512,213,667,64,8,17,AMD,DDR
1024,256,800,8,24,35,AMD,DDR
3072,1024,1002,4,16,35,AMD,DDR
1024,256,800,8,24,35,AMD,DDR
1024,256,800,8,24,35,AMD,DDR
512,256,800,3,8,35,AMD,DDR
1024,256,800,8,24,35,AMD,DDR
512,691,1080,66,40,78,AMD,DDR
1024,256,800,23,24,40,AMD,GDDR
512,112,700,64,8,12,AMD,GDDR
512,256,800,8,8,20,AMD,DDR
1024,544,850,64,32,55,AMD,GDDR
512,112,700,64,8,10,AMD,GDDR
1024,224,700,29,24,96,AMD,GDDR
512,128,800,8,8,14,AMD,GDDR
512,256,800,8,8,29,AMD,DDR
512,96,600,64,8,12,AMD,GDDR
128,106,330,1,8,24,AMD,GDDR
256,152,475,4,8,47,AMD,GDDR
128,32,200,1,4,24,AMD,DDR
1024,64,1000,29,48,127,AMD,GDDR
2048,1152,900,23,56,75,AMD,GDDR
1024,64,1000,29,48,127,AMD,GDDR
1024,576,900,9,24,30,AMD,GDDR
2048,72,1125,7,24,50,AMD,GDDR
1024,512,800,13,24,70,AMD,GDDR
2048,72,1125,18,56,75,AMD,GDDR
2048,72,1125,12,40,50,AMD,GDDR
2048,64,1000,10,32,33,AMD,GDDR
512,691,1080,66,40,78,AMD,DDR
512,96,600,64,8,7,AMD,GDDR
128,4,250,1,8,24,AMD,DDR
512,144,900,8,16,20,AMD,DDR
64,32,200,1,4,24,AMD,DDR
128,44,275,1,8,24,AMD,DDR
512,691,1080,66,40,78,AMD,DDR
512,691,1080,66,40,78,AMD,DDR
256,691,1080,66,40,78,AMD,DDR
256,24,750,34,32,48,AMD,GDDR
64,32,200,1,4,24,AMD,DDR
256,192,600,10,8,19,AMD,GDDR
256,224,700,29,24,96,AMD,GDDR
128,128,400,2,4,25,AMD,DDR
256,112,700,34,24,96,AMD,GDDR
512,544,850,64,24,55,AMD,GDDR
512,256,800,8,8,30,AMD,GDDR
512,224,700,64,16,30,AMD,GDDR
256,8,500,4,8,35,AMD,DDR
512,48,750,19,32,45,AMD,GDDR
256,128,800,8,8,12,AMD,GDDR
256,691,1080,66,40,78,AMD,DDR
256,112,700,64,8,10,AMD,DDR
256,112,700,64,8,12,AMD,GDDR
256,112,700,64,8,8,AMD,DDR
512,512,800,64,16,65,Nvidia,GDDR
2048,2048,800,64,44,130,Nvidia,GDDR
512,512,800,64,24,50,Nvidia,GDDR
256,352,550,67,32,89,Nvidia,DDR
8192,160,1250,32,128,122,Nvidia,GDDR
512,384,600,67,32,45,Nvidia,GDDR
64,28,350,2,8,24,Nvidia,DDR
512,352,550,67,32,65,Nvidia,GDDR
512,448,700,64,24,45,Nvidia,GDDR
16384,320,1250,64,128,200,Nvidia,GDDR
4096,192,750,37,64,200,Nvidia,GDDR
4096,160,1250,32,128,122,Nvidia,GDDR
512,32,500,67,8,20,Nvidia,GDDR
1024,512,800,64,16,60,Nvidia,GDDR
4096,192,750,40,64,200,Nvidia,GDDR
3072,120,625,37,32,150,Nvidia,GDDR
1536,72,750,14,56,75,Nvidia,GDDR
3072,432,900,9,24,35,Nvidia,DDR
2048,96,750,20,64,100,Nvidia,GDDR
1024,502,784,3,16,35,Nvidia,GDDR
1536,60,625,19,32,75,Nvidia,GDDR
2048,288,900,11,24,35,Nvidia,DDR
2048,288,900,3,16,35,Nvidia,DDR
1024,288,900,3,16,35,Nvidia,DDR
1536,432,900,9,24,35,Nvidia,DDR
2048,288,900,3,16,35,Nvidia,DDR
1024,288,900,3,16,35,Nvidia,DDR
1024,288,900,2,16,23,Nvidia,DDR
2048,288,900,2,16,25,Nvidia,DDR
1024,128,800,5,8,12,Nvidia,DDR
1024,128,800,3,8,12,Nvidia,DDR
1024,608,950,9,64,75,Nvidia,GDDR
1024,64,1000,10,64,75,Nvidia,GDDR
1024,144,900,4,8,20,Nvidia,DDR
1024,608,950,9,56,65,Nvidia,GDDR
2048,1216,950,18,56,130,Nvidia,GDDR
1024,576,900,4,32,38,Nvidia,GDDR
1024,512,800,4,32,28,Nvidia,GDDR
2048,1216,950,19,64,150,Nvidia,GDDR
8192,2563,2002,105,120,150,Nvidia,GDDR
4096,1121,1752,45,48,75,Nvidia,GDDR
1024,256,800,4,16,23,Nvidia,DDR
11264,4844,1376,139,224,220,Nvidia,GDDR
2048,1121,1752,47,40,75,Nvidia,GDDR
512,128,800,3,8,14,Nvidia,GDDR
1024,256,800,4,16,23,Nvidia,GDDR
6144,1922,2002,80,106,120,Nvidia,GDDR
2048,653,1020,19,64,150,Nvidia,GDDR
1024,256,800,8,24,23,Nvidia,GDDR
1024,64,1000,12,40,45,Nvidia,GDDR
512,64,400,2,8,12,Nvidia,DDR
1024,256,800,4,16,14,Nvidia,DDR
512,8,500,3,8,14,Nvidia,DDR
512,112,700,64,8,14,Nvidia,GDDR
256,64,400,64,8,14,Nvidia,DDR
1024,1088,900,23,48,23,Nvidia,DDR
2048,96,750,18,64,100,Nvidia,GDDR
2048,768,600,14,44,100,Nvidia,GDDR
4096,1536,600,27,44,200,Nvidia,GDDR
3072,120,625,26,48,150,Nvidia,GDDR
1536,60,625,13,48,75,Nvidia,GDDR
1024,40,625,9,24,35,Nvidia,GDDR
1024,112,700,64,8,14,Nvidia,GDDR
3072,384,800,9,24,35,Nvidia,DDR
3072,120,625,32,32,100,Nvidia,GDDR
1024,256,800,9,16,35,Nvidia,DDR
1024,256,800,3,16,35,Nvidia,DDR
1024,256,800,2,16,23,Nvidia,DDR
1536,60,625,16,32,50,Nvidia,GDDR
6144,120,1250,31,112,100,Nvidia,GDDR
8192,3203,1251,111,160,180,Nvidia,GDDR
1024,128,800,2,8,12,Nvidia,DDR
512,256,800,2,16,23,Nvidia,DDR
512,256,800,2,8,12,Nvidia,DDR
4096,80,1250,18,40,50,Nvidia,GDDR
512,128,800,2,8,14,Nvidia,GDDR
2048,802,1253,15,40,45,Nvidia,GDDR
4096,32,1000,17,40,45,Nvidia,DDR
4096,1604,1253,35,40,120,Nvidia,GDDR
2048,16,1001,9,24,33,Nvidia,DDR
1024,576,900,4,32,38,Nvidia,GDDR
2048,144,900,5,16,15,Nvidia,DDR
1024,512,800,4,32,28,Nvidia,GDDR
1024,341,1066,4,24,28,Nvidia,DDR
2048,16,1001,9,24,33,Nvidia,DDR
1024,341,1066,5,16,23,Nvidia,DDR
1024,341,1066,4,16,23,Nvidia,DDR
2048,144,900,8,32,33,Nvidia,DDR
2048,213,667,4,16,23,Nvidia,DDR
1024,253,790,4,8,14,Nvidia,DDR
2048,32,1000,17,40,45,Nvidia,DDR
512,126,790,3,8,14,Nvidia,DDR
512,126,790,2,8,14,Nvidia,DDR
3072,120,1250,31,112,100,Nvidia,GDDR
1024,144,900,8,16,15,Nvidia,DDR
512,112,700,2,8,14,Nvidia,DDR
1024,160,1250,23,112,100,Nvidia,GDDR
4096,1152,900,23,112,100,Nvidia,GDDR
2048,1152,900,19,80,100,Nvidia,GDDR
2048,160,1250,23,128,122,Nvidia,GDDR
4096,2304,900,46,112,200,Nvidia,GDDR
2048,96,750,20,64,100,Nvidia,GDDR
4096,192,750,40,64,200,Nvidia,GDDR
2048,802,1253,18,40,60,Nvidia,GDDR
6144,1344,700,29,80,150,Nvidia,GDDR
1024,107,667,2,8,14,Nvidia,DDR
1536,72,750,14,56,75,Nvidia,GDDR
3072,72,750,64,56,75,Nvidia,GDDR
3072,672,700,14,80,75,Nvidia,GDDR
2048,64,1000,15,32,50,Nvidia,GDDR
4096,128,1000,24,32,90,Nvidia,GDDR
1024,803,1254,14,32,45,Nvidia,GDDR
2048,288,900,11,32,32,Nvidia,DDR
2048,502,785,3,16,32,Nvidia,GDDR
1024,288,900,8,32,20,Nvidia,DDR
1024,288,900,14,32,45,Nvidia,DDR
2048,288,900,10,32,32,Nvidia,DDR
2048,288,900,10,24,35,Nvidia,DDR
1024,288,900,3,16,33,Nvidia,DDR
1024,288,900,3,16,33,Nvidia,DDR
2048,144,900,3,16,15,Nvidia,DDR
1024,288,900,3,16,25,Nvidia,DDR
2048,288,900,3,16,35,Nvidia,DDR
1024,144,900,5,16,15,Nvidia,DDR
2048,128,800,3,8,20,Nvidia,DDR
2048,576,900,3,16,33,Nvidia,GDDR
2048,144,900,9,16,25,Nvidia,DDR
1024,144,900,7,8,20,Nvidia,DDR
1024,144,900,5,8,12,Nvidia,DDR
1024,144,900,5,8,12,Nvidia,DDR
8192,320,1250,51,128,200,Nvidia,GDDR
4096,160,1250,26,128,122,Nvidia,GDDR
4096,192,1000,39,80,150,Nvidia,GDDR
3072,962,1002,19,80,75,Nvidia,GDDR
2048,288,900,11,24,35,Nvidia,DDR
4096,128,1000,28,64,125,Nvidia,GDDR
2048,1152,900,23,112,100,Nvidia,GDDR
4096,128,1000,21,64,100,Nvidia,GDDR
2048,641,1002,14,64,65,Nvidia,GDDR
4096,1728,1350,31,32,100,Nvidia,GDDR
2048,641,1002,11,64,55,Nvidia,GDDR
2048,288,900,19,32,50,Nvidia,DDR
2048,802,1253,15,32,50,Nvidia,GDDR
4096,160,1250,31,32,80,Nvidia,GDDR
2048,288,900,19,32,50,Nvidia,DDR
2048,64,1000,17,32,50,Nvidia,GDDR
2048,288,900,17,32,45,Nvidia,DDR
2048,288,900,14,32,45,Nvidia,DDR
2048,288,900,13,32,45,Nvidia,DDR
2048,864,1350,16,32,50,Nvidia,GDDR
2048,144,900,8,32,33,Nvidia,DDR
2048,288,900,13,32,45,Nvidia,DDR
2048,288,900,7,16,33,Nvidia,DDR
2048,288,900,12,32,33,Nvidia,DDR
2048,144,900,8,16,33,Nvidia,DDR
2048,144,900,15,32,17,Nvidia,DDR
1024,144,900,6,16,15,Nvidia,DDR
1024,144,900,8,16,33,Nvidia,DDR
2048,64,1000,12,32,45,Nvidia,GDDR
16384,3208,1253,133,96,200,Nvidia,GDDR
8192,1604,1253,72,104,122,Nvidia,GDDR
8192,1604,1253,72,96,100,Nvidia,GDDR
4096,1604,1253,72,96,100,Nvidia,GDDR
3072,1203,1253,58,88,75,Nvidia,GDDR
12288,2406,1253,95,80,150,Nvidia,GDDR
3072,1203,1253,50,80,81,Nvidia,GDDR
6144,1203,1253,48,80,81,Nvidia,GDDR
4096,160,1250,61,64,100,Nvidia,GDDR
4096,224,1750,76,128,165,Nvidia,GDDR
4096,802,1253,18,40,50,Nvidia,GDDR
4096,80,1250,30,64,50,Nvidia,GDDR
2048,802,1253,18,40,50,Nvidia,GDDR
1024,144,900,6,8,20,Nvidia,DDR
2048,32,1000,18,40,50,Nvidia,DDR
2048,16,1001,10,24,25,Nvidia,DDR
2048,32,1000,17,32,40,Nvidia,DDR
4096,288,900,18,40,50,Nvidia,DDR
2048,80,1250,32,64,70,Nvidia,GDDR
1024,144,900,3,8,15,Nvidia,DDR
2048,40,1250,7,24,25,Nvidia,GDDR
2048,80,1250,16,40,50,Nvidia,GDDR
2048,16,1000,9,24,30,Nvidia,DDR
2048,36,1125,7,24,25,Nvidia,GDDR
2048,144,900,8,24,25,Nvidia,DDR
4096,16,1000,9,24,25,Nvidia,DDR
4096,144,900,8,32,25,Nvidia,DDR
2048,144,900,6,32,25,Nvidia,DDR
2048,144,900,8,32,25,Nvidia,DDR
256,352,550,67,8,35,Nvidia,GDDR
512,16,500,3,8,35,Nvidia,GDDR
64,112,700,34,24,96,Nvidia,DDR
256,192,600,10,8,19,Nvidia,GDDR
1024,144,900,8,32,25,Nvidia,DDR
128,72,450,4,4,25,Nvidia,DDR
256,176,550,6,8,18,Nvidia,DDR
256,96,300,1,8,24,Nvidia,DDR
512,122,380,2,4,25,Nvidia,DDR
32,28,350,2,8,24,Nvidia,DDR
512,691,1080,66,40,78,Nvidia,DDR
512,691,1080,66,40,78,Nvidia,DDR
32,24,300,64,4,10,Nvidia,DDR
256,16,500,4,8,35,Nvidia,GDDR
512,256,800,8,8,29,Nvidia,GDDR
256,256,800,8,8,29,Nvidia,GDDR
512,224,700,64,16,20,Nvidia,GDDR
256,224,700,64,16,20,Nvidia,GDDR
256,96,600,64,8,11,Nvidia,GDDR
512,224,700,64,16,18,Nvidia,GDDR
256,96,600,64,8,10,Nvidia,GDDR
512,192,600,64,8,14,Nvidia,GDDR
512,128,800,2,8,65,Intel,eDRAM
256,213,667,13,8,45,Intel,DDR
256,107,667,64,32,73,Intel,DDR
256,213,667,13,8,45,Intel,DDR
256,171,533,4,8,18,Intel,DDR
1024,341,1067,8,16,47,Intel,DDR
512,691,1080,66,40,78,Intel,DDR
8192,256,500,96,64,200,AMD,HBM
8192,256,500,102,64,375,AMD,HBM
512,691,1080,66,40,78,AMD,DDR
6144,480,1250,64,176,300,AMD,GDDR
256,755,1180,66,40,108,AMD,GDDR
6144,264,1375,147,224,225,AMD,GDDR
16384,1280,1250,195,176,750,AMD,GDDR
8192,640,1250,130,176,500,AMD,GDDR
8192,640,1250,130,176,500,AMD,GDDR
8192,352,1375,64,176,290,AMD,GDDR
4096,1536,1200,30,80,150,AMD,GDDR
4096,512,500,64,256,175,AMD,HBM
4096,320,1250,64,176,290,AMD,GDDR
8192,1024,500,134,256,500,AMD,HBM
128,32,400,2,4,20,AMD,DDR
4096,512,500,64,224,375,AMD,HBM
4096,512,500,67,256,275,AMD,HBM
4096,512,500,64,224,275,AMD,HBM
8192,384,1500,70,176,300,AMD,GDDR
8192,384,1500,68,176,300,AMD,GDDR
8192,384,1500,67,176,275,AMD,GDDR
8192,384,1500,68,176,375,AMD,GDDR
8192,384,1500,69,176,375,AMD,GDDR
8192,384,1500,68,176,375,AMD,GDDR
8192,384,1500,68,176,300,AMD,GDDR
8192,3904,1525,70,176,300,AMD,GDDR
8192,3904,1525,70,176,275,AMD,GDDR
8192,384,1500,68,176,300,AMD,GDDR
16384,768,1500,134,176,550,AMD,GDDR
8192,384,1500,68,176,375,AMD,GDDR
8192,384,1500,68,176,300,AMD,GDDR
8192,384,1500,64,160,275,AMD,GDDR
8192,384,1500,67,176,275,AMD,GDDR
8192,384,1500,65,160,300,AMD,GDDR
8192,384,1500,67,176,275,AMD,GDDR
8192,384,1500,65,160,375,AMD,GDDR
8192,384,1500,67,160,375,AMD,GDDR
8192,384,1500,66,160,275,AMD,GDDR
8192,3904,1525,68,160,275,AMD,GDDR
16384,768,1500,128,160,550,AMD,GDDR
16384,6912,1350,128,160,580,AMD,GDDR
8192,384,1500,67,160,300,AMD,GDDR
4096,1856,1450,33,128,225,AMD,GDDR
16384,768,1500,131,160,550,AMD,GDDR
4096,1824,1425,32,128,190,AMD,GDDR
8192,384,1500,64,160,275,AMD,GDDR
8192,384,1500,65,160,300,AMD,GDDR
4096,192,1500,33,128,225,AMD,GDDR
4096,1824,1425,33,128,190,AMD,GDDR
8192,384,1500,64,160,300,AMD,GDDR
4096,1824,1425,32,128,190,AMD,GDDR
4096,1888,1475,33,128,225,AMD,GDDR
4096,1824,1425,31,128,190,AMD,GDDR
4096,1824,1425,31,128,190,AMD,GDDR
4096,1824,1425,31,128,190,AMD,GDDR
2048,176,1375,31,112,225,AMD,GDDR
4096,1824,1425,33,128,190,AMD,GDDR
4096,1824,1425,32,112,190,AMD,GDDR
2048,1888,1475,31,112,190,AMD,GDDR
4096,1888,1475,31,112,190,AMD,GDDR
4096,1856,1450,32,112,225,AMD,GDDR
4096,1824,1425,32,112,190,AMD,GDDR
2048,176,1375,32,112,225,AMD,GDDR
2048,176,1375,31,112,190,AMD,GDDR
4096,1856,1450,32,112,190,AMD,GDDR
4096,1824,1425,32,112,190,AMD,GDDR
2048,176,1375,31,112,190,AMD,GDDR
2048,1792,1400,32,112,190,AMD,GDDR
4096,352,1375,62,112,400,AMD,GDDR
4096,1824,1425,32,112,190,AMD,GDDR
2048,176,1375,29,112,190,AMD,GDDR
4096,1888,1475,31,112,190,AMD,GDDR
2048,176,1375,32,112,190,AMD,GDDR
2048,1792,1400,31,64,150,AMD,GDDR
8192,3584,1400,63,64,300,AMD,GDDR
2048,1792,1400,34,80,180,AMD,GDDR
2048,176,1375,31,112,190,AMD,GDDR
2048,1792,1400,33,64,150,AMD,GDDR
8192,3648,1425,68,64,220,AMD,GDDR
2048,1792,1400,33,64,150,AMD,GDDR
4096,1792,1400,32,64,150,AMD,GDDR
2048,1792,1400,33,64,110,AMD,GDDR
2048,1824,1425,32,64,110,AMD,GDDR
4096,176,1375,32,112,190,AMD,GDDR
4096,1824,1425,34,64,110,AMD,GDDR
2048,104,1625,17,48,85,AMD,GDDR
2048,1824,1425,34,64,110,AMD,GDDR
4096,3584,1400,62,64,225,AMD,GDDR
4096,1792,1400,34,64,150,AMD,GDDR
2048,104,1625,18,56,120,AMD,GDDR
2048,1792,1400,32,64,110,AMD,GDDR
2048,1792,1400,34,64,150,AMD,GDDR
2048,1792,1400,31,64,110,AMD,GDDR
2048,104,1625,17,48,150,AMD,GDDR
2048,112,1750,17,48,100,AMD,GDDR
2048,96,1500,18,48,100,AMD,GDDR
2048,104,1625,17,48,100,AMD,GDDR
2048,96,1500,17,48,100,AMD,GDDR
2048,1056,1650,17,48,100,AMD,GDDR
2048,96,1500,17,48,100,AMD,GDDR
2048,104,1625,17,48,100,AMD,GDDR
2048,96,1500,17,48,150,AMD,GDDR
2048,104,1625,19,48,150,AMD,GDDR
4096,192,1500,34,48,200,AMD,GDDR
2048,96,1500,17,48,50,AMD,GDDR
2048,104,1625,17,48,100,AMD,GDDR
2048,288,900,6,24,50,AMD,DDR
2048,104,1625,17,48,100,AMD,GDDR
2048,72,1125,7,20,65,AMD,GDDR
2048,288,900,7,20,50,AMD,DDR
2048,96,1500,17,48,75,AMD,GDDR
2048,736,1150,8,24,65,AMD,GDDR
4096,320,1250,67,176,300,AMD,GDDR
8192,1024,500,128,256,350,AMD,HBM
8192,352,1375,66,176,290,AMD,GDDR
4096,361,1410,69,176,290,AMD,GDDR
8192,6912,1350,133,176,550,AMD,GDDR
4096,3328,1300,67,176,290,AMD,GDDR
1024,736,1150,8,24,65,AMD,GDDR
4096,3456,1350,67,176,290,AMD,GDDR
4096,320,1250,66,176,290,AMD,GDDR
4096,320,1250,69,176,290,AMD,GDDR
8192,640,1250,133,176,580,AMD,GDDR
4096,320,1250,67,176,290,AMD,GDDR
8192,640,1250,133,176,500,AMD,GDDR
8192,320,1250,67,176,290,AMD,GDDR
4096,320,1250,66,176,250,AMD,GDDR
8192,640,1250,128,176,500,AMD,GDDR
8192,6912,1350,134,176,600,AMD,GDDR
4096,3456,1350,67,176,300,AMD,GDDR
4096,320,1250,67,176,290,AMD,GDDR
4096,320,1250,64,176,290,AMD,GDDR
4096,3456,1350,67,176,375,AMD,GDDR
4096,320,1250,63,160,250,AMD,GDDR
4096,320,1250,64,176,300,AMD,GDDR
4096,3584,1400,66,160,275,AMD,GDDR
4096,320,1250,61,160,250,AMD,GDDR
4096,320,1250,62,160,250,AMD,GDDR
4096,3328,1300,64,160,275,AMD,GDDR
4096,320,1250,62,160,250,AMD,GDDR
4096,320,1250,64,160,275,AMD,GDDR
8192,6656,1300,128,160,550,AMD,GDDR
4096,320,1250,61,160,275,AMD,GDDR
4096,3456,1350,67,160,275,AMD,GDDR
8192,640,1250,133,160,500,AMD,GDDR
4096,320,1250,67,160,275,AMD,GDDR
4096,320,1250,67,160,275,AMD,GDDR
4096,320,1250,62,160,250,AMD,GDDR
4096,320,1250,64,160,275,AMD,GDDR
2048,1792,1400,30,112,190,AMD,GDDR
2048,176,1375,29,112,190,AMD,GDDR
8192,640,1250,121,160,550,AMD,GDDR
2048,176,1375,29,112,190,AMD,GDDR
4096,320,1250,61,160,275,AMD,GDDR
2048,176,1375,29,112,190,AMD,GDDR
2048,1792,1400,31,112,190,AMD,GDDR
2048,176,1375,30,112,190,AMD,GDDR
2048,176,1375,30,112,190,AMD,GDDR
2048,1792,1400,31,112,190,AMD,GDDR
2048,1792,1400,31,112,190,AMD,GDDR
2048,176,1375,29,112,190,AMD,GDDR
3072,288,1500,32,128,250,AMD,GDDR
3072,2976,1550,35,128,250,AMD,GDDR
2048,1792,1400,31,112,190,AMD,GDDR
3072,288,1500,32,128,250,AMD,GDDR
6144,5952,1550,68,128,500,AMD,GDDR
3072,288,1500,35,128,250,AMD,GDDR
3072,288,1500,35,128,250,AMD,GDDR
3072,3072,1600,37,128,250,AMD,GDDR
6144,288,1500,34,128,250,AMD,GDDR
3072,288,1500,33,128,250,AMD,GDDR
3072,2976,1550,34,128,250,AMD,GDDR
3072,288,1500,34,128,250,AMD,GDDR
3072,288,1500,34,128,250,AMD,GDDR
3072,288,1500,33,128,250,AMD,GDDR
3072,288,1500,35,128,250,AMD,GDDR
3072,3072,1600,35,128,375,AMD,GDDR
3072,288,1500,35,128,280,AMD,GDDR
6144,576,1500,64,128,550,AMD,GDDR
3072,3072,1600,34,128,250,AMD,GDDR
3072,288,1500,32,128,280,AMD,GDDR
3072,288,1500,32,128,250,AMD,GDDR
3072,2496,1300,32,112,200,AMD,GDDR
3072,240,1250,31,112,200,AMD,GDDR
3072,240,1250,30,112,200,AMD,GDDR
3072,240,1250,34,112,225,AMD,GDDR
3072,240,1250,32,112,200,AMD,GDDR
3072,240,1250,31,112,200,AMD,GDDR
3072,2496,1300,31,112,200,AMD,GDDR
3072,240,1250,30,112,200,AMD,GDDR
3072,288,1500,32,128,250,AMD,GDDR
6144,480,1250,60,112,400,AMD,GDDR
4096,1792,1400,34,80,180,AMD,GDDR
2048,1856,1450,35,80,180,AMD,GDDR
2048,1856,1450,35,80,180,AMD,GDDR
2048,1792,1400,35,80,180,AMD,GDDR
2048,192,1500,37,80,180,AMD,GDDR
4096,1792,1400,34,80,180,AMD,GDDR
2048,1792,1400,34,80,180,AMD,GDDR
3072,240,1250,30,112,200,AMD,GDDR
2048,192,1500,37,80,180,AMD,GDDR
2048,1824,1425,35,80,180,AMD,GDDR
2048,1792,1400,37,80,180,AMD,GDDR
2048,1792,1400,35,80,180,AMD,GDDR
2048,1792,1400,38,80,180,AMD,GDDR
8192,3584,1400,72,80,220,AMD,GDDR
4096,3584,1400,72,80,180,AMD,GDDR
2048,1792,1400,35,80,180,AMD,GDDR
2048,1792,1400,35,80,180,AMD,GDDR
2048,1792,1400,36,80,180,AMD,GDDR
8192,3584,1400,70,80,180,AMD,GDDR
2048,1792,1400,36,80,180,AMD,GDDR
2048,1792,1400,35,80,175,AMD,GDDR
4096,1792,1400,35,80,180,AMD,GDDR
2048,1792,1400,35,80,180,AMD,GDDR
2048,1792,1400,34,80,180,AMD,GDDR
4096,1792,1400,35,80,225,AMD,GDDR
4096,3584,1400,67,80,360,AMD,GDDR
2048,1792,1400,30,80,150,AMD,GDDR
2048,1792,1400,30,80,150,AMD,GDDR
4096,1792,1400,36,80,180,AMD,GDDR
2048,1792,1400,31,80,175,AMD,GDDR
2048,1792,1400,31,80,175,AMD,GDDR
2048,1792,1400,30,64,150,AMD,GDDR
2048,1792,1400,31,80,175,AMD,GDDR
2048,1792,1400,31,80,175,AMD,GDDR
2048,1792,1400,30,80,150,AMD,GDDR
2048,1792,1400,31,80,175,AMD,GDDR
4096,3584,1400,59,80,300,AMD,GDDR
2048,1792,1400,36,80,180,AMD,GDDR
2048,1792,1400,30,80,150,AMD,GDDR
4096,3584,1400,61,80,300,AMD,GDDR
2048,1792,1400,31,80,146,AMD,GDDR
2048,104,1625,15,32,100,AMD,GDDR
2048,104,1625,18,56,115,AMD,GDDR
2048,1792,1400,30,80,150,AMD,GDDR
2048,1792,1400,30,64,150,AMD,GDDR
2048,1792,1400,33,64,150,AMD,GDDR
2048,1792,1400,30,64,150,AMD,GDDR
4096,3584,1400,59,64,300,AMD,GDDR
2048,1792,1400,31,64,150,AMD,GDDR
2048,1024,1600,18,56,115,AMD,GDDR
2048,1792,1400,31,80,146,AMD,GDDR
2048,1792,1400,30,64,150,AMD,GDDR
2048,1056,1650,19,56,115,AMD,GDDR
2048,1792,1400,31,64,150,AMD,GDDR
4096,1024,500,67,256,225,ATI,HBM
8192,256,2000,41,144,150,ATI,GDDR
2048,80,1250,16,56,85,AMD,GDDR
8192,256,2000,43,144,150,ATI,GDDR
4096,224,1750,41,144,150,ATI,GDDR
8192,256,2000,41,144,150,ATI,GDDR
2048,80,1250,16,56,85,AMD,GDDR
2048,80,1250,16,56,85,AMD,GDDR
2048,80,1250,19,56,85,AMD,GDDR
4096,3584,1400,59,64,300,AMD,GDDR
2048,80,1250,17,56,85,AMD,GDDR
2048,80,1250,17,56,85,AMD,GDDR
2048,80,1250,16,56,85,AMD,GDDR
1024,1024,1600,17,56,105,AMD,GDDR
2048,1024,1600,17,56,105,AMD,GDDR
2048,96,1500,17,56,105,AMD,GDDR
2048,96,1500,17,56,105,AMD,GDDR
2048,96,1500,19,56,105,AMD,GDDR
2048,96,1500,17,56,105,AMD,GDDR
1024,96,1500,17,56,105,AMD,GDDR
1024,1024,1600,17,56,105,AMD,GDDR
1024,96,1500,16,56,105,AMD,GDDR
2048,96,1500,16,56,105,AMD,GDDR
1024,96,1500,16,56,105,AMD,GDDR
2048,96,1500,18,56,105,AMD,GDDR
1024,96,1500,17,56,105,AMD,GDDR
2048,96,1500,16,56,105,AMD,GDDR
1024,96,1500,16,56,105,AMD,GDDR
1024,96,1500,17,56,105,AMD,GDDR
1024,1024,1600,17,56,105,AMD,GDDR
1024,96,1500,16,56,105,AMD,GDDR
2048,1056,1650,19,56,115,AMD,GDDR
2048,104,1625,18,56,115,AMD,GDDR
2048,104,1625,19,56,115,AMD,GDDR
2048,104,1625,19,56,115,AMD,GDDR
2048,1056,1650,18,56,120,AMD,GDDR
2048,112,1750,19,56,115,AMD,GDDR
2048,104,1625,19,56,115,AMD,GDDR
2048,1056,1650,19,56,105,AMD,GDDR
4096,208,1625,35,56,230,AMD,GDDR
2048,104,1625,18,56,115,AMD,GDDR
2048,104,1625,18,56,115,AMD,GDDR
8192,256,2000,42,144,150,ATI,GDDR
4096,224,1750,41,144,150,ATI,GDDR
8192,256,2000,43,144,150,ATI,GDDR
4096,224,1750,42,144,150,ATI,GDDR
4096,224,1750,41,144,150,ATI,GDDR
8192,256,2000,41,144,150,ATI,GDDR
4096,224,1750,41,144,120,ATI,GDDR
8192,256,2000,41,144,150,ATI,GDDR
8192,256,2000,43,144,150,ATI,GDDR
8192,256,2000,41,144,150,ATI,GDDR
4096,224,1750,41,144,150,ATI,GDDR
4096,224,1750,41,144,150,ATI,GDDR
8192,256,2000,41,144,150,ATI,GDDR
4096,224,1750,42,144,150,ATI,GDDR
8192,256,2000,42,144,150,ATI,GDDR
8192,256,2000,41,144,150,ATI,GDDR
4096,224,1750,41,144,120,ATI,GDDR
8192,256,2000,43,144,150,ATI,GDDR
2048,96,1500,16,48,95,AMD,GDDR
8192,256,2000,41,144,150,ATI,GDDR
4096,224,1750,41,144,120,ATI,GDDR
